#{"t_start": 1734957872.2110987, "env_id": "GraspEnv_v3"}
r,l,t
-1.527296,3,1.517116
0.891331,1,1.520262
-2.032957,4,1.529256
0.968777,1,1.533293
-0.791526,2,1.537173
-6.498985,11,1.559165
-9.067487,13,1.58812
-8.903949,14,1.616092
-10.722668,14,1.646779
-0.7141,4,1.654832
-11.468078,14,1.759009
-12.377447,14,1.786009
-7.46376,14,1.811017
-3.391878,8,1.825057
-8.295934,14,1.849183
-3.614715,7,1.861183
-2.096532,6,1.872213
-11.507619,14,1.89719
-0.532308,4,1.906192
-12.226777,14,1.931236
-0.093796,3,1.986755
-10.472835,14,2.01377
0.510714,2,2.019951
-12.639742,14,2.045542
-11.279485,14,2.07055
-4.101393,10,2.089564
-10.695517,14,2.113523
-1.811456,4,2.120619
-13.593572,14,2.146859
0.134199,4,2.155836
-6.318736,10,2.229919
-0.672296,2,2.233929
-3.045804,8,2.250152
-1.467929,4,2.259143
-1.934514,5,2.269141
-8.102224,14,2.296116
-5.121458,8,2.311123
-2.036154,9,2.328227
-1.025845,2,2.33319
-3.869411,6,2.345878
-0.169294,1,2.401895
-7.237816,14,2.430955
-2.84845,7,2.44563
-10.374554,14,2.470642
-6.072866,14,2.495626
-13.354543,14,2.520624
-13.451926,14,2.547961
-2.828115,5,2.55792
-13.324178,14,2.581913
-12.170911,14,2.61292
-8.220239,14,2.692619
-4.022359,9,2.712598
-2.822693,9,2.730667
-3.330516,9,2.747332
-2.237757,6,2.760304
-6.930464,14,2.785324
-3.629406,7,2.799343
-8.79629,14,2.824368
-1.225106,4,2.832367
-0.558553,3,2.83746
-5.767415,12,2.901467
0.338389,4,2.909461
-13.308382,14,2.943671
-12.416381,14,2.969674
-1.718745,3,2.977678
-10.242306,14,3.003672
-7.538673,14,3.031792
0.187535,2,3.035769
0.870257,1,3.039295
-9.729498,14,3.06829
-10.735322,14,3.138981
-1.369432,4,3.149979
-13.419872,14,3.176004
-13.956355,14,3.203981
0.948775,1,3.207985
-8.914696,14,3.244209
-5.197629,14,3.27122
-11.963168,14,3.306207
-13.647783,14,3.332285
0.935606,1,3.335289
-11.487555,14,3.420496
-0.584027,4,3.429604
-0.976519,3,3.436604
0.13157,2,3.444258
-13.629115,14,3.472257
-3.996653,11,3.495217
-13.516029,14,3.52221
0.943346,1,3.526263
-13.537275,14,3.557874
0.740319,10,3.584886
-2.352976,6,3.646616
-10.701758,14,3.675621
-9.896961,14,3.701638
-7.197994,13,3.728698
-3.959763,9,3.746373
0.917183,1,3.749378
-2.182594,5,3.761375
0.59696,4,3.772377
0.298075,9,3.789429
-10.827566,14,3.816378
-6.662033,9,3.880919
-10.939693,14,3.908927
-2.709981,8,3.92795
-11.333963,14,3.954658
0.733505,2,3.96065
0.377954,2,3.965639
-5.194546,8,3.981621
-10.940129,14,4.007621
0.090913,3,4.014632
-13.24103,14,4.038702
-5.782556,14,4.103881
0.46027,2,4.108897
-0.819498,7,4.121886
-2.30322,7,4.134962
-0.50609,2,4.138936
-13.299332,14,4.165079
-11.385617,14,4.190049
-11.55311,14,4.216075
-13.765013,14,4.241217
0.417491,2,4.245219
0.360579,2,4.304216
-12.394925,14,4.335302
-0.884065,4,4.344661
-6.460141,11,4.371664
-6.001335,12,4.394681
-1.43304,6,4.407674
-13.712737,14,4.434746
-6.560585,14,4.462333
-0.063695,4,4.471365
-4.799315,10,4.491339
-3.357657,10,4.562549
-10.617568,14,4.59255
-8.439909,14,4.621552
-0.139562,1,4.62456
-0.814366,2,4.62963
0.197973,3,4.637617
0.947649,1,4.640212
-2.736081,9,4.661298
-8.326825,14,4.688264
-2.181853,12,4.711265
0.920038,1,4.772974
0.702269,2,4.778971
-1.111579,5,4.789971
0.889772,1,4.792964
-0.491012,5,4.803987
-1.003234,5,4.812977
1.405082,5,4.821964
-2.528929,9,4.841214
1.664691,2,4.84623
0.97396,11,4.868207
-1.816106,5,4.926269
-13.305683,14,4.95441
-13.427324,14,4.985406
-3.674992,10,5.0074
0.174661,3,5.014399
-9.593768,14,5.040474
-11.462815,14,5.066677
-0.633081,4,5.074684
-9.832144,14,5.101697
-1.700611,9,5.117712
-9.990662,14,5.192431
-11.786082,14,5.219675
0.673326,4,5.22824
-9.184006,14,5.256823
-0.149829,1,5.259823
0.613287,6,5.272846
-1.39421,4,5.280823
-1.541802,6,5.292863
-8.701378,14,5.318816
-10.544068,14,5.349518
-11.812052,14,5.423518
-4.33489,10,5.443203
-0.93176,3,5.449196
-6.961171,14,5.474196
1.337569,3,5.48124
-3.894353,9,5.497228
-10.548773,14,5.521226
-11.424345,14,5.54538
-7.489196,14,5.57138
-6.919544,14,5.599388
-11.439642,14,5.681557
-12.872864,14,5.70855
0.613155,2,5.713557
-7.503517,14,5.739671
-0.232093,4,5.748885
0.554669,2,5.753886
0.185653,2,5.763893
-13.710034,14,5.791881
-12.412572,14,5.819903
-13.364358,14,5.848067
-0.856963,2,5.914099
-8.988738,14,5.941144
-9.741755,14,5.966806
-0.631272,5,5.975809
-7.526595,13,6.000805
-10.219662,14,6.026808
-7.95707,14,6.054511
-10.332311,14,6.081509
-8.280106,14,6.107518
-8.801044,14,6.132571
-11.486792,14,6.206181
-0.107409,1,6.209172
-10.015776,14,6.234244
-4.695221,7,6.247867
-9.962306,14,6.272884
-8.472938,14,6.296844
-0.278949,3,6.303853
-9.379177,14,6.329917
-0.094645,2,6.33391
-8.984124,14,6.362242
-7.804367,14,6.436325
-13.728247,14,6.467906
-9.141887,14,6.49494
-8.038008,14,6.518907
-10.951499,14,6.552224
-13.629844,14,6.577247
-11.613665,14,6.605238
-13.279835,14,6.631266
-13.620331,14,6.65781
-9.327051,14,6.68483
-7.930561,14,6.753505
-7.011506,10,6.771499
0.176015,3,6.78051
0.19457,2,6.787544
-1.437185,4,6.797508
-6.946419,14,6.8235
-1.155447,3,6.82959
-8.256072,14,6.863274
-12.722698,14,6.888273
-0.914112,5,6.897271
0.166256,2,6.955944
-2.373037,6,6.970982
-0.323477,3,6.977947
-10.868559,14,7.005947
-10.196363,12,7.033046
-3.399007,7,7.047225
-0.815344,2,7.052196
-0.815714,3,7.059195
0.975295,1,7.062189
-11.758735,14,7.089209
-10.935883,14,7.158378
-1.565302,5,7.168384
-6.907709,14,7.195405
-2.354895,5,7.206385
-3.87095,7,7.220409
-0.751376,4,7.228391
-8.136691,13,7.254145
-2.634218,7,7.267133
-6.373604,10,7.28914
0.002683,2,7.295163
0.107944,4,7.345904
-12.001753,14,7.372871
-12.19489,14,7.397871
-2.087386,5,7.407871
-6.256732,13,7.430911
-6.201672,14,7.456108
-1.210012,4,7.46509
-8.625071,14,7.492085
-10.511072,14,7.519085
-6.357528,10,7.538124
0.902834,1,7.581282
-9.816083,14,7.609282
-2.905828,6,7.620275
-13.55107,14,7.645316
-13.493347,14,7.668956
-2.577542,5,7.677963
-3.531605,9,7.694958
-13.865593,14,7.722965
-13.939599,14,7.747683
-0.961435,2,7.753712
-2.567922,8,7.80668
-2.080894,7,7.820678
-0.488849,3,7.826678
-2.898463,12,7.848933
-11.459017,14,7.873903
0.942236,1,7.877909
-0.131486,1,7.88191
-8.243063,14,7.908899
-12.409208,14,7.936993
-3.191354,7,7.951115
-0.700163,3,8.003119
-0.568591,2,8.009126
-11.845638,14,8.035201
-13.934725,14,8.062863
1.267794,3,8.069862
0.168495,2,8.074856
0.264371,2,8.079897
0.068401,11,8.10289
-13.604986,14,8.129897
-0.181051,1,8.132923
-8.371231,14,8.209583
0.935303,1,8.212537
-0.691356,4,8.220563
-8.904265,14,8.247827
-2.262158,7,8.260831
-11.830465,14,8.28884
-9.812035,14,8.317827
-7.907872,14,8.344903
-0.975855,4,8.354004
-8.063545,14,8.381004
-3.790926,7,8.438051
-13.386709,14,8.46471
-7.876435,14,8.490683
-11.754064,14,8.516683
0.169818,3,8.523687
-8.738047,14,8.554369
-7.442339,14,8.58136
-0.228224,3,8.589369
0.892747,1,8.593405
-1.096852,5,8.60636
-6.501654,14,8.672596
-8.607379,14,8.700584
-0.251744,3,8.706563
-7.134854,14,8.733628
-3.327261,6,8.744645
-1.391953,4,8.752842
-0.053035,2,8.75785
-6.584751,10,8.774849
-0.518281,3,8.780843
-0.038557,3,8.788847
-10.857244,14,8.865013
-0.457034,3,8.872026
0.183468,2,8.876013
-4.151958,10,8.897027
-9.925179,14,8.922022
-7.591632,14,8.946057
-6.261935,10,8.966282
0.94427,1,8.969281
0.863868,1,8.972286
-3.286147,6,8.985282
-2.403692,8,9.048345
-3.990228,10,9.069534
-11.334386,14,9.096529
-1.189279,3,9.102554
-8.731763,14,9.127518
-13.026072,14,9.152713
-1.424914,4,9.159717
0.30147,2,9.164711
-4.578906,8,9.17871
-2.721064,7,9.195725
-8.783364,14,9.280979
-1.37272,3,9.287943
-8.658788,14,9.313962
-3.488164,9,9.332978
-0.016034,5,9.343086
-0.75681,3,9.349647
-0.137105,1,9.35373
-0.62971,3,9.359724
-0.432968,3,9.365752
-7.669572,14,9.391741
-1.82606,4,9.439787
-9.818777,14,9.467416
0.944033,1,9.470459
-2.95254,9,9.488439
0.152883,2,9.493432
-6.494263,12,9.520414
-0.373457,3,9.526417
-0.754199,2,9.531416
-0.605993,2,9.535463
-0.974219,4,9.544456
-0.236477,3,9.591123
-12.571134,14,9.619159
-1.465253,5,9.629155
-7.685423,14,9.6598
-8.429996,14,9.685793
0.810585,1,9.688799
-8.963833,14,9.719826
-10.251448,14,9.745854
-4.011794,7,9.76011
-0.001371,4,9.7681
0.375265,2,9.822106
-5.893161,13,9.849152
-0.156777,1,9.851816
-3.268198,6,9.862816
-0.82527,2,9.868823
-5.70821,8,9.883823
-11.255712,14,9.907833
0.693904,2,9.91285
1.294551,3,9.918818
-5.410668,14,9.952538
-1.119058,4,10.003505
1.498807,8,10.020538
-9.93014,14,10.046597
-11.599865,14,10.072968
-4.776531,9,10.094964
-11.944624,14,10.124986
-0.152249,1,10.12798
-2.315692,5,10.139015
-1.493862,4,10.149011
-0.835025,3,10.154582
-11.899975,14,10.229607
-11.233718,14,10.262788
-3.456419,10,10.281806
0.939115,1,10.284788
-10.689543,14,10.316792
-4.674836,14,10.346821
-10.739872,14,10.371937
-1.046925,3,10.377928
-7.3668,10,10.396935
-10.705389,14,10.42396
-1.674638,4,10.477731
-5.260555,14,10.503695
-0.303361,3,10.510695
0.551941,2,10.515695
-0.573908,5,10.525696
-8.33461,14,10.55139
-4.94479,9,10.572442
-4.696002,10,10.591442
0.382358,2,10.596438
-3.244242,10,10.617448
-1.7226,6,10.669936
0.593504,2,10.67494
-0.491607,3,10.682936
0.030182,2,10.687936
-1.683355,3,10.694936
-8.60861,14,10.723934
-7.056035,14,10.749052
-6.69692,11,10.769669
-8.383217,14,10.795694
-0.80577,3,10.801665
-9.840275,14,10.874124
-1.668992,5,10.884123
0.060729,2,10.889117
-7.101583,14,10.91515
-10.502776,14,10.941211
0.895177,1,10.944208
-1.329597,5,10.954291
-2.1056,3,10.961293
0.412598,2,10.967302
-9.703095,14,10.995317
-3.631346,6,11.052421
0.932897,1,11.056598
-9.025481,14,11.086595
-10.062955,14,11.114587
-11.704885,14,11.143639
-13.312829,14,11.171865
-3.37952,7,11.186858
1.085392,12,11.210856
-9.687807,14,11.241922
-12.643406,14,11.278126
-0.74694,2,11.330126
-2.85276,8,11.349186
-10.063928,14,11.378322
-2.942942,5,11.388315
-6.573267,10,11.408322
0.89554,1,11.411329
-7.670141,11,11.434313
-12.649025,14,11.46352
-1.94652,3,11.471524
-2.730463,8,11.497559
-9.505379,14,11.590227
-4.144233,7,11.609213
-5.206164,9,11.63422
-0.121019,2,11.641282
-0.40732,3,11.651268
-0.972737,2,11.658889
-3.702042,5,11.672895
-0.027652,2,11.678905
-0.133105,1,11.681886
-11.674341,14,11.713882
-12.429442,14,11.784626
-1.522513,3,11.793618
-8.387322,14,11.82363
-8.067664,14,11.852718
0.960085,1,11.857346
-9.661711,14,11.888344
-11.008361,14,11.919348
-8.444908,14,11.949444
0.866502,1,11.952407
-10.452706,14,11.984751
-10.293478,14,12.057461
-1.77181,5,12.068463
-5.264291,9,12.08849
0.876088,1,12.092463
-6.420104,10,12.114464
-5.937073,14,12.147554
-0.090946,3,12.15719
-12.233272,14,12.191189
-9.979918,14,12.225183
-11.762106,14,12.256905
-10.029735,14,12.333902
-0.192153,3,12.341028
-12.633872,14,12.368206
-0.595468,2,12.37321
0.339295,2,12.378205
-11.626872,14,12.407206
-6.60358,14,12.435194
-12.517545,14,12.464542
-11.710425,14,12.495535
0.864848,1,12.499535
-11.265485,14,12.572873
-10.880128,14,12.601821
-2.948896,9,12.623827
-9.82501,14,12.658992
-9.458695,12,12.685992
0.007101,2,12.691992
0.02411,4,12.701983
0.880741,1,12.705992
-9.482228,14,12.744051
-10.437546,14,12.781167
-8.369545,14,12.864395
-12.196501,14,12.902361
-2.754005,6,12.917357
-2.360054,14,12.948415
0.906526,1,12.952442
-0.353928,3,12.961892
-7.619536,14,12.991864
-9.836224,14,13.021873
-6.758739,11,13.046917
0.513707,2,13.053932
-11.840215,14,13.136602
-1.858352,6,13.150645
0.531117,2,13.156618
-11.108372,14,13.187737
-7.197586,14,13.216734
-9.58355,14,13.24679
-9.482247,14,13.278067
-8.878953,12,13.305066
-1.729647,5,13.316072
0.902385,1,13.320066
-0.069303,3,13.3688
-1.719819,3,13.376774
-2.192045,5,13.388797
-0.358586,3,13.395799
-12.167322,14,13.423771
-0.639628,4,13.434771
0.942162,1,13.437778
0.961639,1,13.44176
-0.855021,5,13.453817
-0.391462,4,13.46438
-0.680959,8,13.528389
-9.581498,14,13.560051
0.449211,2,13.566051
0.340153,2,13.572052
-9.987807,14,13.60204
0.287383,2,13.610056
-10.372746,13,13.639042
-2.264227,7,13.65411
-10.820548,14,13.684218
-8.429324,14,13.711211
-0.187788,1,13.757884
-13.028142,14,13.790949
1.415413,7,13.807961
0.676533,2,13.813987
-9.058694,14,13.844005
-4.840653,10,13.869636
0.621848,3,13.877633
0.600396,5,13.891634
-8.219992,14,13.922641
-3.262169,9,13.942629
0.739374,8,14.008297
-8.295125,14,14.03733
-0.460436,3,14.045382
-5.510655,11,14.068969
-12.621495,14,14.098006
0.962344,1,14.101977
-0.185039,3,14.109976
-13.371938,14,14.139965
0.720117,2,14.146022
-12.905703,14,14.180184
-12.360553,14,14.271833
-7.541317,13,14.31983
-1.812403,5,14.333829
-0.807299,2,14.341837
0.881867,1,14.34789
-1.167545,4,14.368508
-11.775715,14,14.406543
-0.640558,4,14.419549
-4.937878,8,14.470235
-3.81917,9,14.491217
-0.850059,6,14.578896
0.071926,2,14.585928
-1.781024,5,14.597889
1.038402,3,14.605889
-10.135505,14,14.635889
0.986543,1,14.639889
-11.499506,14,14.672229
0.998867,1,14.676241
-6.625283,11,14.701235
-9.338752,14,14.729238
-6.017565,9,14.792524
-0.145705,1,14.796533
0.055898,2,14.801536
-1.1139,5,14.813529
-13.027585,14,14.843572
-9.798155,14,14.877851
-3.092265,7,14.894835
-1.949234,5,14.907821
-8.138725,14,14.938821
0.973306,1,14.943832
-4.134326,9,15.005143
-2.629537,6,15.019107
-7.299367,14,15.047179
-9.637857,14,15.078431
-3.047358,10,15.103438
-13.657776,14,15.133441
-0.839622,4,15.145523
-5.150297,9,15.167796
-2.845278,9,15.187817
-0.81422,3,15.196806
-7.260369,14,15.270271
-10.423392,14,15.302233
0.95294,1,15.306263
-1.381724,4,15.315248
-10.332725,14,15.346321
-3.642046,14,15.37693
-11.534721,14,15.407928
-0.291,3,15.416927
-11.574313,14,15.447976
0.942502,1,15.451991
-7.59006,14,15.526102
-13.932872,14,15.557148
-8.684816,14,15.587262
-0.465073,2,15.593247
-7.585357,14,15.624275
-1.952867,4,15.634257
-13.896881,14,15.663607
-4.082669,11,15.69063
-7.148796,12,15.717602
3.791151,5,15.729633
-4.949899,10,15.794801
-7.830806,14,15.824811
-4.140381,10,15.84581
0.926679,1,15.848895
1.074995,3,15.856898
-9.160123,14,15.889137
-0.075421,2,15.894137
-9.092112,14,15.923135
-7.288902,14,15.955174
-3.330798,6,15.968795
0.862288,1,16.011816
-9.100134,14,16.043795
-11.909602,14,16.073473
-11.57686,14,16.104457
-5.336555,13,16.131446
-9.215148,14,16.161544
-11.633679,14,16.192159
-1.119107,4,16.201158
-3.28317,7,16.218178
-6.910996,14,16.246161
-10.043944,14,16.319894
-8.934331,14,16.348949
-1.009631,9,16.370589
-9.575397,14,16.408579
-9.113629,14,16.440589
-12.214932,14,16.469253
-4.839245,10,16.489256
-10.605281,14,16.517254
-0.55404,3,16.529263
-9.988998,14,16.560298
-1.121555,3,16.613398
-1.592083,4,16.624388
0.141828,2,16.630392
-5.977692,9,16.65047
-4.211594,7,16.665606
-0.228798,4,16.674603
-3.767194,13,16.701613
-1.430191,5,16.713628
-3.241021,7,16.728606
-2.069433,6,16.741603
0.963554,1,16.790111
2.868309,4,16.804126
-12.152853,14,16.835108
-5.786047,14,16.863713
-3.298819,9,16.881765
-9.370243,14,16.909765
-12.309464,14,16.938782
0.591392,2,16.944782
-10.617998,14,16.975034
-7.429501,14,17.005995
0.992796,1,17.05306
-11.97978,14,17.083231
-11.389353,14,17.111221
-11.447191,14,17.140238
-8.143506,14,17.167428
-10.669248,14,17.194422
-10.451144,14,17.224435
-7.963763,14,17.252493
-0.777,3,17.259505
0.500228,2,17.264473
-3.566035,11,17.339681
0.920238,1,17.343671
-11.953352,14,17.37401
-11.807474,14,17.403026
-9.482667,14,17.435014
-2.3196,5,17.447009
0.109036,3,17.456073
-7.836001,14,17.484713
-5.565962,14,17.512675
-0.391149,2,17.520676
-8.730089,14,17.601375
-12.777294,14,17.636368
-10.450848,14,17.668541
-12.211648,14,17.699575
-8.316,14,17.737538
-12.469028,14,17.768884
-5.788891,14,17.798886
-10.576465,14,17.826884
-9.150578,13,17.853005
-9.716235,14,17.883653
-7.713314,13,17.963703
-1.293317,4,17.975828
-9.366841,13,18.00684
-8.710959,14,18.038834
0.88968,1,18.042846
-8.493637,14,18.074083
-0.982015,5,18.085092
0.924124,1,18.089083
0.882645,1,18.093083
-10.421131,14,18.123083
-11.690722,14,18.201372
-8.169329,14,18.232372
0.859062,1,18.236405
-13.796006,14,18.267563
-3.44629,7,18.28257
-5.852742,11,18.304563
-11.549807,14,18.338569
0.677455,3,18.346593
-13.323216,14,18.374784
-5.737129,12,18.400753
0.633459,2,18.446763
0.843193,1,18.450753
-0.451621,4,18.461806
-7.997601,14,18.495003
-2.197297,5,18.504959
-12.612802,14,18.535984
-8.078064,14,18.564015
-7.136585,14,18.59215
-1.729824,6,18.612149
-11.515584,14,18.644141
-0.318578,3,18.694418
-10.303796,14,18.723464
-13.789252,14,18.751414
-1.026891,5,18.762473
-1.438357,6,18.774614
-8.963289,14,18.812656
-11.935444,14,18.842625
-2.799428,6,18.857686
-8.839738,14,18.886778
0.811467,1,18.890785
-10.221092,14,18.971019
-11.348808,14,18.999993
-7.76242,14,19.029008
-9.848423,14,19.060053
-0.404042,12,19.088242
-1.353005,4,19.100253
-11.091164,14,19.132253
-5.175094,12,19.167303
-8.388452,13,19.197751
0.169579,3,19.205778
-11.279424,14,19.27831
-13.014099,14,19.307323
-8.688856,14,19.336332
-10.241215,14,19.365363
-11.439525,14,19.398534
-8.290698,14,19.429535
0.300856,2,19.435549
-11.912212,14,19.465623
-3.547673,7,19.482752
-12.702538,14,19.510737
0.223659,5,19.57645
-13.683217,14,19.608453
2.395572,3,19.616473
-0.940324,4,19.626458
-0.674978,2,19.631449
-7.385467,11,19.657544
-0.130842,1,19.663504
-2.129331,5,19.67521
0.96993,1,19.679185
-10.123034,14,19.71219
-2.105774,12,19.782411
-12.859273,14,19.815381
-9.290034,14,19.845381
-2.122901,5,19.858433
-8.661113,11,19.887575
0.904252,1,19.89158
-3.315222,7,19.907601
0.08035,3,19.915575
-0.801305,6,19.931561
-0.440477,3,19.939569
-4.528808,10,20.017346
-1.748309,5,20.029335
-2.418211,7,20.044338
-0.150853,1,20.048339
0.933493,1,20.05137
-6.045288,13,20.083029
-0.034088,3,20.092036
0.842759,1,20.096045
-1.594569,4,20.10504
-9.161592,14,20.140063
-0.843779,2,20.191271
-6.005282,10,20.215267
-10.27247,14,20.24726
-1.638684,7,20.265336
-0.147561,1,20.269327
-0.037369,3,20.278
-11.252106,14,20.307977
0.224498,2,20.314987
-2.434423,7,20.331983
-1.889273,6,20.345004
-10.475007,14,20.41469
-10.089359,14,20.447671
-9.741347,14,20.479887
-0.192065,3,20.488889
-0.170722,1,20.493869
0.895372,3,20.504892
-6.830322,14,20.549874
-1.143924,6,20.572648
-3.403407,11,20.613676
-0.141009,1,20.620684
-12.906589,14,20.719394
-0.555069,5,20.731398
-12.861521,14,20.763465
0.537247,2,20.769464
0.899789,1,20.774199
-1.098374,4,20.786201
0.933448,1,20.79018
-1.157308,4,20.801175
-4.644465,6,20.820174
-0.150429,1,20.824178
-3.988472,8,20.89484
0.996958,1,20.898847
-10.104786,14,20.931863
-0.421308,3,20.940849
-3.996197,10,20.965929
0.397064,2,20.972502
-12.064816,14,21.009558
-1.547529,4,21.021585
-4.315573,9,21.043555
0.247629,2,21.049556
-3.138888,9,21.115256
-0.558522,4,21.127298
-4.469934,10,21.153256
-11.324081,14,21.18685
-2.767653,7,21.204845
-9.420509,14,21.238853
-11.984154,14,21.277586
-10.79318,14,21.311606
-6.837026,14,21.34558
-3.085552,6,21.361629
-0.0128,2,21.412111
